customer_id,age,gender,marital_status,occupation,employer_type,education_level,state,city,city_tier,pincode_bucket,customer_since,tenure_years,customer_segment,income_group,monthly_income,salary_account_flag,risk_category,is_self_employed,is_government_employee,clv_score,clv_tier
CUST000001,56,M,married,salaried,private,graduate,Delhi,Janakpuri,3,557000-557999,2013-09-21,12,elite,high,373799.38,0,medium,0,0,49.26,normal
CUST000002,69,M,divorced,salaried,self_employed,high_school,Maharashtra,Nashik,3,562000-562999,2015-11-25,10,mass,lower_mid,15375.16,0,low,0,0,29.0,normal
CUST000003,46,M,divorced,other,private,post_graduate,Madhya Pradesh,Gwalior,3,769000-769999,2019-01-12,7,mass_affluent,upper_mid,84752.64,0,medium,0,0,37.06,normal
CUST000004,32,M,single,salaried,private,post_graduate,Uttar Pradesh,Agra,3,220000-220999,2024-10-05,1,mass_affluent,upper_mid,80088.97,1,low,0,0,42.94,normal
CUST000005,60,F,married,salaried,private,high_school,West Bengal,Durgapur,3,601000-601999,2012-12-22,13,mass,lower_mid,26047.07,0,low,0,0,41.2,normal
CUST000006,25,M,married,salaried,self_employed,high_school,Karnataka,Mysore,2,548000-548999,2025-07-23,0,youth,lower_mid,25150.49,1,low,0,0,47.29,normal
CUST000007,38,F,married,student,private,graduate,Rajasthan,Kota,3,466000-466999,2019-11-04,6,mass,lower_mid,28382.69,0,low,0,0,51.66,normal
CUST000008,56,F,married,salaried,private,high_school,Uttar Pradesh,Lucknow,2,434000-434999,2021-02-03,5,mass,lower_mid,16304.08,0,low,0,0,32.54,normal
CUST000009,75,F,married,student,government,post_graduate,Gujarat,Gandhinagar,3,459000-459999,2014-11-27,11,mass,low,9219.22,0,medium,0,0,31.17,normal
CUST000010,36,F,married,student,other,post_graduate,Andhra Pradesh,Visakhapatnam,2,777000-777999,2025-08-21,0,mass,low,5297.97,0,medium,0,0,47.57,normal
CUST000011,40,F,married,self_employed,private,high_school,Uttar Pradesh,Kanpur,3,557000-557999,2014-06-07,12,mass,lower_mid,18279.57,0,low,1,0,32.89,normal
CUST000012,28,F,married,retired,private,graduate,Rajasthan,Ajmer,3,322000-322999,2022-05-09,4,youth,low,10053.55,0,high,0,0,54.63,normal
CUST000013,28,M,married,salaried,self_employed,graduate,Haryana,Panipat,3,121000-121999,2020-02-08,6,youth,lower_mid,15398.04,0,medium,0,0,14.91,normal
CUST000014,41,F,married,self_employed,self_employed,high_school,Maharashtra,Pune,1,135000-135999,2018-01-13,8,retail,mid,35965.13,0,medium,1,0,54.09,normal
CUST000015,70,M,single,salaried,self_employed,graduate,Uttar Pradesh,Kanpur,3,136000-136999,2024-05-05,2,hni,high,377459.55,0,medium,0,0,33.09,normal
CUST000016,53,F,widowed,salaried,private,graduate,Andhra Pradesh,Tirupati,3,676000-676999,2021-10-15,4,mass,lower_mid,23174.12,1,medium,0,0,48.54,normal
CUST000017,57,M,married,salaried,private,post_graduate,West Bengal,Howrah,3,518000-518999,2014-04-09,12,retail,mid,36613.22,0,medium,0,0,63.63,normal
CUST000018,41,F,single,salaried,private,post_graduate,Assam,Jorhat,3,328000-328999,2021-05-29,5,mass,lower_mid,23838.99,0,high,0,0,13.54,normal
CUST000019,20,M,married,salaried,government,high_school,Rajasthan,Bikaner,3,693000-693999,2011-11-05,14,youth,low,13094.3,0,medium,0,0,72.29,elite
CUST000020,39,M,single,salaried,private,professional,Madhya Pradesh,Indore,2,319000-319999,2014-12-21,11,retail,mid,30194.96,1,medium,0,0,76.74,elite
CUST000021,70,F,married,salaried,self_employed,graduate,West Bengal,Asansol,3,723000-723999,2017-10-13,8,retail,mid,54174.58,1,medium,0,0,35.69,normal
CUST000022,19,F,single,student,government,high_school,Uttar Pradesh,Meerut,3,542000-542999,2012-07-08,13,youth,low,11981.39,1,medium,0,0,44.0,normal
CUST000023,41,F,married,salaried,government,graduate,Rajasthan,Jodhpur,3,628000-628999,2012-02-01,14,mass_affluent,upper_mid,90622.55,0,low,0,0,66.71,normal
CUST000024,61,F,single,business,government,post_graduate,Rajasthan,Jodhpur,3,352000-352999,2016-12-21,9,mass_affluent,upper_mid,73993.15,0,medium,1,0,61.77,normal
CUST000025,47,M,single,salaried,self_employed,below_10th,West Bengal,Kolkata,1,300000-300999,2012-01-15,14,mass,low,14572.13,1,medium,0,0,31.83,normal
CUST000026,55,M,married,salaried,private,graduate,Punjab,Amritsar,2,114000-114999,2021-09-28,4,retail,mid,40097.84,0,medium,0,0,27.43,normal
CUST000027,19,F,single,salaried,private,high_school,Andhra Pradesh,Vijayawada,2,108000-108999,2017-03-12,9,youth,lower_mid,16391.19,0,high,0,0,64.66,normal
CUST000028,38,M,single,salaried,government,graduate,Uttar Pradesh,Meerut,3,437000-437999,2026-05-18,0,retail,mid,32901.49,0,high,0,0,46.74,normal
CUST000029,50,M,single,self_employed,private,post_graduate,Haryana,Faridabad,2,389000-389999,2012-09-26,13,mass,lower_mid,27712.42,0,medium,1,0,81.54,super_hni
CUST000030,29,F,married,salaried,private,graduate,Gujarat,Rajkot,2,453000-453999,2014-02-13,12,youth,low,11037.26,1,medium,0,0,69.09,elite
CUST000031,75,F,married,other,private,graduate,Kerala,Kochi,2,750000-750999,2013-08-11,12,retail,mid,54213.85,0,low,0,0,75.34,elite
CUST000032,39,M,widowed,other,government,professional,Uttar Pradesh,Lucknow,2,687000-687999,2017-11-10,8,mass,lower_mid,25945.98,1,low,0,0,66.89,normal
CUST000033,61,M,married,salaried,government,high_school,Maharashtra,Solapur,3,263000-263999,2024-05-06,2,retail,mid,46086.84,0,medium,0,0,12.2,normal
CUST000034,42,M,single,student,private,post_graduate,Madhya Pradesh,Bhopal,2,748000-748999,2023-08-08,2,mass,low,14731.16,0,medium,0,0,12.49,normal
CUST000035,66,F,single,salaried,private,graduate,Bihar,Muzaffarpur,3,680000-680999,2014-07-31,11,retail,mid,41356.03,1,medium,0,0,71.46,elite
CUST000036,44,F,married,self_employed,private,post_graduate,Delhi,Rohini,3,720000-720999,2024-02-13,2,mass,lower_mid,23280.61,1,medium,1,0,50.77,normal
CUST000037,59,F,married,student,private,graduate,Uttar Pradesh,Meerut,3,710000-710999,2018-10-03,7,mass,lower_mid,27441.07,0,low,0,0,55.09,normal
CUST000038,45,F,single,salaried,private,post_graduate,Maharashtra,Nashik,3,442000-442999,2014-12-11,11,retail,mid,48555.59,0,medium,0,0,76.11,elite
CUST000039,33,F,married,salaried,government,professional,Madhya Pradesh,Jabalpur,3,220000-220999,2024-05-23,2,mass,lower_mid,27925.6,0,low,0,0,4.8,normal
CUST000040,32,F,married,salaried,private,graduate,Uttar Pradesh,Allahabad,3,152000-152999,2020-06-24,5,mass,lower_mid,23660.28,1,medium,0,0,17.34,normal
CUST000041,64,F,married,salaried,private,graduate,Maharashtra,Mumbai,1,103000-103999,2019-04-15,7,mass_affluent,upper_mid,123411.47,0,low,0,0,69.89,elite
CUST000042,68,M,single,salaried,private,graduate,Maharashtra,Nashik,3,745000-745999,2017-01-16,9,retail,mid,31374.73,1,medium,0,0,63.54,normal
CUST000043,61,M,married,salaried,private,high_school,Uttar Pradesh,Lucknow,2,465000-465999,2013-07-13,12,elite,high,229764.4,1,low,0,0,69.66,elite
CUST000044,72,F,married,salaried,self_employed,graduate,Bihar,Muzaffarpur,3,629000-629999,2014-01-23,12,mass,lower_mid,19340.82,0,medium,0,0,69.37,elite
CUST000045,69,M,single,salaried,private,below_10th,Kerala,Thiruvananthapuram,2,715000-715999,2024-03-16,2,retail,mid,32393.76,1,medium,0,0,58.17,normal
CUST000046,74,M,single,student,private,graduate,Andhra Pradesh,Visakhapatnam,2,107000-107999,2019-11-19,6,mass,low,7327.91,1,medium,0,0,48.77,normal
CUST000047,20,F,single,salaried,government,graduate,Tamil Nadu,Madurai,2,130000-130999,2019-06-16,6,youth,mid,33030.04,1,high,0,0,13.66,normal
CUST000048,54,F,married,student,other,professional,Bihar,Gaya,3,745000-745999,2018-01-09,8,mass,lower_mid,19169.6,1,high,0,0,21.74,normal
CUST000049,68,M,single,business,private,high_school,Bihar,Darbhanga,3,120000-120999,2023-12-16,2,mass,lower_mid,24535.27,0,medium,1,0,48.63,normal
CUST000050,24,M,married,student,private,post_graduate,Kerala,Kollam,3,352000-352999,2021-07-15,4,youth,low,8648.32,0,high,0,0,23.26,normal
CUST000051,38,F,single,student,private,post_graduate,Gujarat,Vadodara,2,560000-560999,2022-03-21,4,mass,low,8701.81,0,high,0,0,24.29,normal
CUST000052,26,F,married,salaried,private,post_graduate,Uttar Pradesh,Lucknow,2,584000-584999,2021-01-07,5,youth,lower_mid,18142.61,0,medium,0,0,53.37,normal
