customer_id,savings_account,current_account,fd,rd,credit_card,cc_variant,cc_credit_limit,cc_monthly_spend,debit_card,insurance,mutual_funds,consumer_durable,demat_account,mobile_banking,internet_banking
CUST000001,1,0,0,0,0,none,0.0,0.0,1,1,0,1,0,0,1
CUST000002,1,0,0,0,0,none,0.0,0.0,0,1,0,0,0,0,1
CUST000003,1,1,0,1,0,none,0.0,0.0,1,0,0,1,0,0,0
CUST000004,0,1,1,1,0,none,0.0,0.0,1,0,0,0,0,1,0
CUST000005,1,0,1,0,0,none,0.0,0.0,1,0,0,1,0,0,0
CUST000006,0,0,0,1,1,rewards,104516.6,4723.96,1,0,0,1,0,0,1
CUST000007,1,1,0,1,0,none,0.0,0.0,1,0,0,1,0,1,1
CUST000008,1,0,0,0,0,none,0.0,0.0,1,1,0,1,0,1,0
CUST000009,1,0,1,0,0,none,0.0,0.0,0,0,1,0,0,0,0
CUST000010,1,0,0,1,0,none,0.0,0.0,1,1,0,1,0,0,1
CUST000011,0,0,1,0,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000012,1,1,0,0,0,none,0.0,0.0,1,0,0,0,0,1,1
CUST000013,1,1,1,0,0,none,0.0,0.0,1,0,0,0,0,1,0
CUST000014,1,1,1,1,0,none,0.0,0.0,1,0,1,0,1,1,1
CUST000015,1,1,0,1,1,rewards,1660044.25,86425.41,1,0,0,1,0,0,1
CUST000016,1,0,0,1,0,none,0.0,0.0,1,0,1,0,0,1,1
CUST000017,1,0,1,1,0,none,0.0,0.0,0,0,0,0,0,1,1
CUST000018,1,1,1,0,0,none,0.0,0.0,1,0,0,0,0,0,1
CUST000019,1,1,0,0,0,none,0.0,0.0,1,1,0,0,0,1,0
CUST000020,1,1,0,0,0,none,0.0,0.0,1,1,0,1,0,1,1
CUST000021,1,0,1,0,0,none,0.0,0.0,1,1,0,1,0,0,0
CUST000022,1,0,1,0,0,none,0.0,0.0,0,0,0,0,1,0,0
CUST000023,1,0,1,0,0,none,0.0,0.0,0,0,0,0,0,1,0
CUST000024,0,1,1,0,0,none,0.0,0.0,1,0,0,1,0,0,1
CUST000025,1,1,0,0,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000026,1,0,0,0,0,none,0.0,0.0,1,0,0,0,0,0,1
CUST000027,0,0,0,0,0,none,0.0,0.0,1,1,0,1,0,0,0
CUST000028,0,0,0,0,0,none,0.0,0.0,0,0,0,0,0,0,0
CUST000029,1,0,0,1,0,none,0.0,0.0,1,1,1,1,0,1,0
CUST000030,1,1,0,0,0,none,0.0,0.0,1,0,0,0,0,1,0
CUST000031,1,0,1,1,0,none,0.0,0.0,1,0,0,1,0,1,0
CUST000032,1,0,1,1,0,none,0.0,0.0,0,0,1,1,0,0,1
CUST000033,0,0,1,0,0,none,0.0,0.0,1,0,0,0,0,1,1
CUST000034,1,0,0,0,0,none,0.0,0.0,1,1,1,0,0,0,1
CUST000035,1,0,0,0,1,basic,209455.9,8313.71,1,0,0,1,0,0,0
CUST000036,1,0,1,1,0,none,0.0,0.0,1,1,0,1,0,0,1
CUST000037,0,0,1,0,0,none,0.0,0.0,1,1,0,0,0,1,0
CUST000038,1,0,1,0,0,none,0.0,0.0,1,0,0,1,0,1,0
CUST000039,1,1,1,0,0,none,0.0,0.0,0,0,0,0,0,0,1
CUST000040,1,0,0,1,0,none,0.0,0.0,1,1,0,0,0,0,0
CUST000041,1,1,1,1,1,premium,629205.91,31629.06,1,1,0,1,0,0,1
CUST000042,1,0,0,0,0,none,0.0,0.0,1,0,0,0,0,0,1
CUST000043,1,0,1,0,0,none,0.0,0.0,1,0,0,1,0,0,1
CUST000044,1,0,0,0,0,none,0.0,0.0,1,1,1,0,0,1,0
CUST000045,1,0,1,0,1,basic,163586.11,4387.69,1,0,0,1,1,0,1
CUST000046,1,0,0,1,0,none,0.0,0.0,1,0,0,0,0,1,0
CUST000047,1,0,1,0,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000048,1,0,1,0,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000049,1,0,0,0,0,none,0.0,0.0,0,1,0,0,0,0,1
CUST000050,1,0,0,0,0,none,0.0,0.0,1,0,0,0,0,0,1
CUST000051,1,0,0,0,0,none,0.0,0.0,0,0,0,0,0,0,1
CUST000052,0,1,0,0,0,none,0.0,0.0,1,0,0,1,0,0,0
CUST000053,1,1,0,0,1,basic,58825.25,3390.45,0,1,1,0,0,0,0
CUST000054,1,1,0,0,0,none,0.0,0.0,0,1,0,0,0,0,0
CUST000055,1,0,1,0,0,none,0.0,0.0,1,1,0,1,0,0,0
CUST000056,1,0,0,0,1,rewards,96316.54,6731.07,1,0,0,0,0,1,0
CUST000057,0,1,1,0,0,none,0.0,0.0,1,0,0,0,0,1,0
CUST000058,1,0,1,1,1,rewards,44622.78,3524.72,1,1,0,0,0,0,1
CUST000059,1,0,0,1,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000060,1,0,0,0,0,none,0.0,0.0,0,0,0,0,0,1,1
CUST000061,1,0,1,0,0,none,0.0,0.0,1,1,0,1,0,0,1
CUST000062,0,0,1,1,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000063,1,0,1,0,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000064,1,0,1,1,0,none,0.0,0.0,1,0,1,1,1,1,0
CUST000065,1,0,0,0,0,none,0.0,0.0,0,0,0,1,0,0,1
CUST000066,1,0,1,0,0,none,0.0,0.0,1,0,1,0,0,1,1
CUST000067,1,1,0,0,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000068,1,0,0,0,0,none,0.0,0.0,1,1,0,0,0,0,0
CUST000069,1,0,1,0,0,none,0.0,0.0,0,1,0,0,0,0,0
CUST000070,1,1,0,1,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000071,1,1,0,1,0,none,0.0,0.0,0,0,0,1,0,1,0
CUST000072,1,0,1,1,0,none,0.0,0.0,1,0,1,0,0,0,0
CUST000073,1,0,0,1,0,none,0.0,0.0,1,0,0,0,1,0,1
CUST000074,1,0,0,1,0,none,0.0,0.0,1,1,0,1,1,0,0
CUST000075,1,1,0,0,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000076,1,0,0,1,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000077,1,0,0,1,0,none,0.0,0.0,1,0,0,1,0,0,0
CUST000078,0,1,1,1,0,none,0.0,0.0,1,1,0,1,0,1,0
CUST000079,1,0,1,0,0,none,0.0,0.0,1,1,1,0,0,0,0
CUST000080,1,0,1,0,0,none,0.0,0.0,0,0,0,1,0,0,0
CUST000081,1,1,0,0,0,none,0.0,0.0,1,1,0,0,0,0,0
CUST000082,1,0,0,1,0,none,0.0,0.0,1,1,0,1,0,0,1
CUST000083,1,0,1,1,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000084,1,0,0,0,0,none,0.0,0.0,1,1,0,0,0,1,1
CUST000085,1,0,1,0,0,none,0.0,0.0,1,0,0,1,1,0,0
CUST000086,1,0,1,1,0,none,0.0,0.0,1,0,0,1,0,0,0
CUST000087,1,0,1,0,0,none,0.0,0.0,1,0,1,1,0,0,1
CUST000088,1,0,0,0,0,none,0.0,0.0,1,0,0,1,0,0,1
CUST000089,1,0,0,0,0,none,0.0,0.0,0,1,0,0,1,0,0
CUST000090,1,1,1,1,0,none,0.0,0.0,1,0,0,0,0,0,0
CUST000091,1,0,0,0,0,none,0.0,0.0,1,1,0,0,0,0,1
CUST000092,0,0,0,1,0,none,0.0,0.0,1,0,0,1,0,1,0
CUST000093,1,0,0,0,1,rewards,75385.94,6278.76,0,1,1,0,0,1,1
