customer_id,recommended_product,clv_tier,cibil_score,confidence_pct,top1_feature,top1_shap,top1_value,top2_feature,top2_shap,top2_value,top3_feature,top3_shap,top3_value,top_blocker_feature,top_blocker_shap
CUST018907,insurance,normal,566,100.0,default_history_flag,4.2709,1.0,bureau_x_writeoff,1.5391,8.0,is_blocked,0.8904,1.0,insurance,-0.4508
CUST015052,personal_loan,normal,833,99.9,profit_of_top_eligible,1.2165,100.0,digital_x_online,0.6895,0.0914,occupation_enc,0.6624,3.0,cibil_gte_750,-0.8001
CUST018411,consumer_durable,normal,635,100.0,income_group_ord,1.6473,2.0,cibil_score,0.7899,635.0,cibil_composite,0.3555,55.8401,ecommerce_to_spend_ratio,-0.7047
CUST003146,home_loan,normal,814,99.9,prime_home_age,2.1388,1.0,profit_of_top_eligible,0.7625,100.0,clv_tier_enc,0.2897,0.0,digital_x_online,-0.1189
CUST003396,personal_loan,normal,819,99.9,profit_of_top_eligible,1.1979,100.0,digital_x_online,0.6904,0.0872,occupation_enc,0.6717,3.0,cibil_gte_750,-0.7887
CUST018842,consumer_durable,elite,851,99.7,ecommerce_to_spend_ratio,2.0471,0.1755,income_group_ord,1.483,2.0,online_spend_ratio,1.0959,0.1755,cibil_score,-0.3044
CUST009405,consumer_durable,normal,854,99.7,ecommerce_to_spend_ratio,1.977,0.1587,income_group_ord,1.5148,2.0,online_spend_ratio,1.0594,0.1587,cibil_score,-0.2827
CUST002700,consumer_durable,normal,762,95.4,ecommerce_to_spend_ratio,1.9215,0.1738,income_group_ord,1.4489,1.0,online_spend_ratio,1.0299,0.1738,is_student,-0.5205
CUST019203,credit_card,normal,727,97.8,digital_credit_ready,1.3448,1.0,foir_high,0.9048,1.0,foir_x_cibil,0.7636,1.1707,cibil_gte_750,-0.265
CUST015538,consumer_durable,normal,770,99.9,ecommerce_to_spend_ratio,1.8932,0.1576,income_group_ord,1.3625,2.0,online_spend_ratio,0.9502,0.1576,age,-0.6532
CUST018110,home_loan,normal,789,95.7,prime_home_age,2.0294,1.0,profit_of_top_eligible,0.7568,100.0,cibil_gte_750,0.2659,1.0,credit_capacity_score,-0.1895
CUST007081,insurance,normal,578,100.0,default_history_flag,4.4517,1.0,is_blocked,1.1135,1.0,repayment_status_ord,0.8008,0.0,is_retired,-0.3332
CUST009524,insurance,normal,726,99.9,is_retired,7.307,1.0,occupation_enc,0.4468,2.0,high_saver,0.1861,1.0,default_history_flag,-0.2908
CUST008666,insurance,normal,657,96.1,bureau_inquiries_6m,4.057,6.0,bureau_x_writeoff,2.4308,6.0,repayment_status_ord,0.6727,0.0,is_retired,-0.3898
CUST003114,insurance,normal,617,100.0,default_history_flag,2.4641,1.0,bureau_inquiries_6m,1.7343,6.0,bureau_x_writeoff,1.5327,12.0,insurance,-0.3653
CUST001773,credit_card,elite,813,100.0,digital_credit_ready,1.5825,1.0,foir_x_cibil,0.7112,0.5467,foir_high,0.6925,1.0,prime_home_age,-0.2656
CUST014760,home_loan,normal,786,97.7,prime_home_age,2.0471,1.0,profit_of_top_eligible,0.7584,100.0,credit_capacity_score,0.3858,93.5715,ecommerce_to_spend_ratio,-0.2835
CUST003128,credit_card,super_hni,839,100.0,digital_credit_ready,1.6728,1.0,foir_high,0.7504,1.0,foir_x_cibil,0.6098,0.7606,cc_utilization_ratio,-0.7856
CUST016399,credit_card,normal,784,97.8,digital_credit_ready,1.5212,1.0,foir_x_cibil,1.0871,0.6274,foir_high,0.8547,1.0,prime_home_age,-0.4402
CUST014076,consumer_durable,normal,653,91.9,ecommerce_to_spend_ratio,1.6304,0.1557,cibil_score,1.0947,653.0,online_spend_ratio,0.9078,0.1557,income_group_ord,-1.6337
CUST005439,consumer_durable,normal,792,99.7,ecommerce_to_spend_ratio,2.107,0.1537,income_group_ord,1.2512,2.0,online_spend_ratio,1.065,0.1537,cibil_score,-0.2854
CUST011659,credit_card,normal,737,100.0,is_self_employed,0.5983,0.0,prime_home_age,0.4028,0.0,profit_of_top_eligible,0.3812,100.0,digital_credit_ready,-0.8966
CUST011342,credit_card,normal,716,95.7,digital_credit_ready,1.8617,1.0,prime_home_age,0.6702,0.0,strong_digital,0.1979,1.0,is_premium,-0.1562
CUST011905,home_loan,normal,829,99.9,prime_home_age,2.1687,1.0,profit_of_top_eligible,0.7698,100.0,top2_risk_percentage,0.2677,11.65,monthly_income,-0.0641
CUST013439,consumer_durable,normal,653,100.0,ecommerce_to_spend_ratio,1.2646,0.1687,income_group_ord,1.0132,2.0,online_spend_ratio,0.5022,0.1687,top2_confidence_score,-0.1681
CUST017560,personal_loan,normal,834,99.9,profit_of_top_eligible,1.1238,100.0,top2_risk_percentage,0.814,5.49,low_income,0.7583,1.0,cibil_gte_750,-0.7379
CUST013669,education_loan,normal,735,100.0,is_student,4.3025,1.0,occupation_enc,0.7574,5.0,online_spend_ratio,0.3335,0.1489,age,-0.0281
CUST016583,car_loan,normal,662,100.0,cibil_risky_zone,1.8475,1.0,profit_of_top_eligible,0.518,70.0,cibil_score,0.4677,662.0,top2_confidence_score,-0.0676
CUST004298,insurance,normal,630,100.0,default_history_flag,3.4921,1.0,is_blocked,0.8518,1.0,affluent,0.4578,1.0,is_retired,-0.2822
CUST000474,insurance,normal,630,100.0,default_history_flag,4.3552,1.0,bureau_x_writeoff,1.5604,8.0,is_blocked,0.9037,1.0,insurance,-0.4073
CUST004069,consumer_durable,normal,796,99.7,ecommerce_to_spend_ratio,2.1652,0.1766,income_group_ord,1.2411,1.0,online_spend_ratio,1.1151,0.1766,cibil_score,-0.2973
CUST018884,personal_loan,normal,733,97.7,profit_of_top_eligible,1.5484,100.0,is_self_employed,1.4713,1.0,cibil_gte_750,0.9181,0.0,occupation_enc,-0.288
CUST005627,education_loan,normal,708,100.0,is_student,4.3098,1.0,occupation_enc,0.7572,5.0,online_spend_ratio,0.318,0.1094,age,-0.0261
